Date,Slots
2016-04-05,5
2016-04-06,5
2016-04-07,5
2016-04-08,2
2016-04-09,5
2016-04-10,5
2016-04-11,5
2016-04-12,2
2016-04-13,2
2016-04-14,2
2016-04-15,2
2016-04-16,4
2016-04-17,4
2016-04-18,2
2016-04-19,2
2016-04-20,2
2016-04-21,2
2016-04-22,2
2016-04-23,4
2016-04-24,4
2016-04-25,2
2016-04-26,2
2016-04-27,2
2016-04-28,2
2016-04-29,2
2016-04-30,4
2016-05-01,4
2016-05-02,5
2016-05-03,2
2016-05-04,2
2016-05-05,2
2016-05-06,2
2016-05-07,4
2016-05-08,4
2016-05-09,5
2016-05-10,2
2016-05-11,2
2016-05-12,2
2016-05-13,2
2016-05-14,4
2016-05-15,4
2016-05-16,2
2016-05-17,2
2016-05-18,0
2016-05-19,2
2016-05-20,2
2016-05-21,4
2016-05-22,4
2016-05-23,2
2016-05-24,2
2016-05-25,2
2016-05-26,2
2016-05-27,2
2016-05-28,4
2016-05-29,4
2016-05-30,5
2016-05-31,5
2016-06-01,5
2016-06-02,5
2016-06-03,5
2016-06-04,4
2016-06-05,4
2016-06-06,2
2016-06-07,2
2016-06-08,2
2016-06-09,0
2016-06-10,2
2016-06-11,4
2016-06-12,4
2016-06-13,2
2016-06-14,2
2016-06-15,
2016-06-16,
2016-06-17,
2016-06-18,
2016-06-19,
2016-06-20,
2016-06-21,
2016-06-22,
2016-06-23,
2016-06-24,
2016-06-25,
2016-06-26,
